Primary_ID,Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options
36,27/08/14 11:41,27,Male,United States,NY,No,No,Yes,Rarely,Jun-25,No,Yes,No,Yes
37,27/08/14 11:41,29,Male,Canada,NA,No,No,No,Rarely,1-May,No,Yes,No,No
38,27/08/14 11:41,38,Male,Portugal,NA,No,No,No,NA,100-500,No,Yes,No,Yes
39,27/08/14 11:42,50,M,United States,IN,No,No,No,NA,100-500,No,Yes,Yes,Yes
40,27/08/14 11:42,35,M,United States,TX,No,No,Yes,Rarely,More than 1000,Yes,Yes,Yes,Yes
41,27/08/14 11:42,24,Male,United Kingdom,NA,No,No,Yes,Sometimes,Jun-25,No,Yes,No,No
42,27/08/14 11:42,35,Male,United States,MI,No,No,No,NA,More than 1000,Yes,Yes,Yes,Not sure
43,27/08/14 11:43,27,Male,Canada,NA,No,Yes,Yes,Sometimes,1-May,No,Yes,No,Yes
44,27/08/14 11:43,18,Male,Netherlands,NA,No,No,No,Often,Jun-25,No,Yes,No,Not sure
45,27/08/14 11:43,30,Male,United States,IN,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,No
46,27/08/14 11:43,38,Female,United States,TX,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes
47,27/08/14 11:43,28,Male,United Kingdom,NA,No,No,No,NA,26-100,No,Yes,Don't know,Not sure
48,27/08/14 11:43,34,Male,United States,TN,No,No,No,NA,Jun-25,No,Yes,No,No
49,27/08/14 11:43,26,m,Canada,NA,Yes,No,No,Sometimes,1-May,No,Yes,No,Yes
50,27/08/14 11:44,30,male,United States,IL,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No
51,27/08/14 11:44,22,M,United States,TX,No,Yes,Yes,Often,Jun-25,No,Yes,No,Yes
52,27/08/14 11:45,33,Male,United States,UT,No,No,No,NA,100-500,Yes,Yes,Don't know,Not sure
53,27/08/14 11:45,31,M,United States,NA,No,No,No,NA,100-500,Yes,Yes,Don't know,No
54,27/08/14 11:45,32,Male,United States,TN,No,No,No,Never,1-May,Yes,Yes,Don't know,Not sure
55,27/08/14 11:46,28,M,Switzerland,NA,No,No,No,NA,100-500,No,Yes,No,No
56,27/08/14 11:46,27,Male-ish,United States,NY,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Yes
57,27/08/14 11:46,32,maile,United States,TN,No,Yes,No,NA,Jun-25,Yes,Yes,Don't know,No
58,27/08/14 11:47,24,Male,United States,NY,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,No
59,27/08/14 11:47,26,Male,United States,TN,No,No,No,NA,26-100,No,No,No,No
60,27/08/14 11:47,33,male,Canada,NA,No,Yes,Yes,Often,Jun-25,Yes,Yes,Don't know,No
61,27/08/14 11:48,44,Male,United States,IA,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,No
62,27/08/14 11:49,26,Female,Poland,NA,No,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,Not sure
63,27/08/14 11:50,27,Male,United Kingdom,NA,No,No,No,Never,100-500,No,Yes,Yes,Not sure
64,27/08/14 11:50,26,Male,France,NA,No,No,No,NA,26-100,No,Yes,No,No
65,27/08/14 11:50,35,male,Canada,NA,No,No,No,Sometimes,Jun-25,No,Yes,Don't know,No
66,27/08/14 11:51,40,Male,United States,CA,No,Yes,No,Sometimes,More than 1000,Yes,Yes,Yes,Yes
67,27/08/14 11:51,23,Female,Australia,NA,No,Yes,Yes,Often,1-May,Yes,Yes,No,Not sure
68,27/08/14 11:52,36,M,United States,TX,No,No,No,Sometimes,100-500,Yes,Yes,Yes,No
69,27/08/14 11:52,31,Female,United States,NM,No,No,No,NA,26-100,Yes,No,Don't know,No
70,27/08/14 11:52,34,Male,United States,NY,Yes,No,No,Rarely,1-May,Yes,Yes,No,No
71,27/08/14 11:53,28,m,France,NA,No,No,No,Never,26-100,No,Yes,No,No
72,27/08/14 11:53,34,male,Canada,NA,No,No,No,Never,Jun-25,No,Yes,Don't know,Not sure
73,27/08/14 11:54,23,Trans-female,United States,MA,No,No,No,Rarely,More than 1000,No,Yes,Yes,Yes
74,27/08/14 11:56,38,Male,United Kingdom,NA,No,No,No,NA,26-100,No,Yes,No,No
75,27/08/14 11:56,33,Male,United States,CA,No,No,No,Never,More than 1000,No,Yes,Don't know,Not sure
76,27/08/14 11:57,19,Male,United Kingdom,NA,No,No,No,NA,1-May,No,Yes,No,Yes
77,27/08/14 11:57,25,Male,United States,WA,No,No,No,NA,More than 1000,Yes,Yes,Yes,Yes
78,27/08/14 11:57,31,Male,United States,WA,Yes,Yes,No,Sometimes,1-May,Yes,Yes,No,No
79,27/08/14 11:59,32,Male,United States,UT,No,Yes,Yes,Sometimes,26-100,Yes,Yes,No,No
80,27/08/14 12:00,28,m,Germany,NA,No,No,No,Never,Jun-25,Yes,Yes,Don't know,No
81,27/08/14 12:01,38,Male,United States,NY,No,Yes,No,Sometimes,100-500,Yes,Yes,Yes,Yes
82,27/08/14 12:02,23,Male,United Kingdom,NA,No,No,No,Never,26-100,No,Yes,Yes,Not sure
83,27/08/14 12:02,30,male,Canada,NA,No,No,No,Never,26-100,No,No,No,No
84,27/08/14 12:03,27,Cis Female,United States,NY,Yes,No,Yes,Often,1-May,Yes,Yes,Yes,Yes
85,27/08/14 12:05,33,Male,United States,CA,No,Yes,No,Never,More than 1000,No,Yes,No,No
86,27/08/14 12:05,31,Male,United States,TX,No,No,No,NA,26-100,No,Yes,Don't know,Not sure
87,27/08/14 12:07,39,Male,United Kingdom,NA,Yes,No,Yes,Often,Jun-25,No,Yes,No,No
88,27/08/14 12:10,34,female,United States,OR,No,Yes,Yes,Rarely,500-1000,Yes,Yes,Yes,Not sure
89,27/08/14 12:11,29,F,United States,FL,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes
90,27/08/14 12:11,32,M,United States,IL,No,No,No,NA,500-1000,No,Yes,Don't know,No
91,27/08/14 12:12,31,Male,United States,NY,No,No,No,Never,500-1000,No,Yes,Yes,Yes
92,27/08/14 12:13,40,male,United States,TX,No,No,Yes,Sometimes,26-100,No,Yes,No,Yes
93,27/08/14 12:14,34,Male,United States,OH,No,No,No,NA,26-100,No,Yes,Don't know,No
94,27/08/14 12:15,18,something kinda male?,Russia,NA,No,No,No,NA,26-100,Yes,Yes,Yes,Yes
95,27/08/14 12:15,25,F,Canada,NA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes
96,27/08/14 12:15,29,male,United States,MN,No,No,No,Never,26-100,No,Yes,Don't know,No
97,27/08/14 12:16,24,Male,United States,MO,No,Yes,No,Rarely,26-100,No,Yes,Don't know,Not sure
98,27/08/14 12:17,31,male,Mexico,NA,No,Yes,Yes,Sometimes,Jun-25,No,Yes,Don't know,No
99,27/08/14 12:18,33,Cis Male,United States,AZ,No,No,Yes,Sometimes,Jun-25,No,Yes,No,Yes
100,27/08/14 12:18,30,M,United States,IN,No,No,Yes,Often,1-May,No,Yes,No,Yes
101,27/08/14 12:18,26,female,Canada,NA,No,Yes,Yes,Sometimes,26-100,No,No,No,Yes
102,27/08/14 12:18,44,Female,United States,MA,No,No,No,Never,100-500,No,Yes,Yes,Not sure
103,27/08/14 12:19,25,Male,United States,NY,No,Yes,No,NA,26-100,No,Yes,Don't know,No
104,27/08/14 12:20,33,Male,United States,WI,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes
105,27/08/14 12:22,29,Male,United States,NY,No,No,No,Never,More than 1000,No,Yes,Yes,Not sure
106,27/08/14 12:23,35,Male,United States,MO,No,Yes,No,Rarely,Jun-25,No,Yes,Yes,Not sure
107,27/08/14 12:23,35,M,United States,OR,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,Not sure
108,27/08/14 12:25,28,Male,Brazil,NA,No,Yes,Yes,Rarely,Jun-25,No,Yes,No,No
109,27/08/14 12:28,34,m,United States,TN,No,Yes,No,Never,Jun-25,Yes,Yes,Yes,No
110,27/08/14 12:28,32,Male,United States,WA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No
111,27/08/14 12:29,22,Male,United States,NY,No,No,Yes,Sometimes,500-1000,No,Yes,Yes,Yes
112,27/08/14 12:31,28,Male,United States,CA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes
113,27/08/14 12:31,45,male,United States,MO,No,Yes,Yes,Rarely,Jun-25,Yes,Yes,Yes,Yes
114,27/08/14 12:31,32,Male,United States,NY,No,No,No,Never,100-500,No,Yes,Yes,Yes
115,27/08/14 12:31,28,male,United States,TX,No,No,No,NA,More than 1000,No,Yes,Don't know,No
116,27/08/14 12:31,26,Male,United Kingdom,NA,No,No,No,Never,Jun-25,No,Yes,Don't know,No
117,27/08/14 12:31,21,Male,United Kingdom,NA,Yes,No,No,Often,1-May,Yes,No,No,Yes
118,27/08/14 12:31,27,Male,Canada,NA,No,No,No,Rarely,Jun-25,No,No,Yes,Yes
119,27/08/14 12:31,18,Male,United States,CT,No,No,Yes,Rarely,1-May,Yes,Yes,No,No
120,27/08/14 12:32,35,Male,United States,CO,No,No,No,NA,26-100,Yes,Yes,Don't know,Not sure
121,27/08/14 12:32,29,Male,United States,GA,No,No,No,Never,More than 1000,No,Yes,Yes,Yes
122,27/08/14 12:33,25,Male,United States,DC,No,No,No,NA,26-100,Yes,Yes,Don't know,No
123,27/08/14 12:33,33,Male,United States,MN,No,Yes,Yes,Sometimes,Jun-25,Yes,Yes,Don't know,No
124,27/08/14 12:33,36,Male,United States,WA,No,No,No,Often,Jun-25,No,Yes,Yes,No
125,27/08/14 12:33,27,Male,Canada,NA,No,No,Yes,Never,100-500,No,No,Yes,Not sure
126,27/08/14 12:34,27,Male,United States,WA,No,Yes,No,Never,500-1000,No,Yes,Yes,No
127,27/08/14 12:34,27,Male,United Kingdom,NA,No,No,No,NA,Jun-25,No,Yes,No,No
128,27/08/14 12:34,32,M,United States,OR,No,No,Yes,Rarely,100-500,No,Yes,Yes,Yes
129,27/08/14 12:34,31,Male,United Kingdom,NA,No,Yes,No,Sometimes,Jun-25,No,Yes,No,No
130,27/08/14 12:34,19,male,Slovenia,NA,No,No,Yes,Sometimes,Jun-25,No,Yes,Don't know,No
131,27/08/14 12:34,33,Male,United States,IL,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes
132,27/08/14 12:35,32,male,United States,CA,No,No,No,Rarely,1-May,Yes,Yes,No,Yes
133,27/08/14 12:36,27,Male,United States,NE,No,No,No,Never,26-100,No,Yes,Don't know,Not sure
134,27/08/14 12:36,38,Male,Costa Rica,NA,No,No,No,NA,26-100,Yes,Yes,No,Yes
135,27/08/14 12:36,24,Male,Canada,NA,No,No,Yes,Never,26-100,No,Yes,Don't know,No
136,27/08/14 12:37,39,M,United Kingdom,NA,No,No,No,Never,26-100,No,No,No,No
137,27/08/14 12:37,28,Male,United Kingdom,NA,No,No,No,Never,Jun-25,No,Yes,Don't know,No
138,27/08/14 12:37,39,Male,United States,IA,No,No,Yes,Often,More than 1000,No,Yes,Yes,Not sure
139,27/08/14 12:37,29,Female,United States,MD,No,No,No,NA,Jun-25,No,Yes,Don't know,No
140,27/08/14 12:37,22,m,Austria,NA,No,No,No,NA,Jun-25,Yes,Yes,Don't know,No
141,27/08/14 12:38,38,Male,United States,OR,No,Yes,Yes,Sometimes,100-500,No,Yes,Don't know,No
142,27/08/14 12:38,37,Male,United Kingdom,NA,Yes,No,Yes,Sometimes,More than 1000,No,No,No,Yes
143,27/08/14 12:38,35,M,United States,TX,No,No,No,Never,26-100,Yes,No,Don't know,Not sure
144,27/08/14 12:39,-29,Male,United States,MN,No,No,No,NA,More than 1000,Yes,No,Yes,No
145,27/08/14 12:39,30,Female,United States,PA,No,Yes,No,NA,More than 1000,Yes,Yes,Don't know,Not sure
146,27/08/14 12:39,37,Male,United States,IN,No,Yes,Yes,Rarely,100-500,No,No,Yes,Yes
147,27/08/14 12:39,24,M,United Kingdom,NA,No,No,No,Never,Jun-25,No,Yes,No,No
148,27/08/14 12:39,23,Male,United States,WV,No,No,No,Sometimes,Jun-25,No,No,No,No
149,27/08/14 12:40,30,male,Ireland,NA,No,No,Yes,Rarely,100-500,No,Yes,No,Yes
150,27/08/14 12:40,29,Female,United States,MI,No,No,No,NA,100-500,Yes,Yes,Don't know,Not sure
151,27/08/14 12:40,19,Male,Canada,NA,Yes,Yes,No,NA,1-May,Yes,Yes,Don't know,Not sure
152,27/08/14 12:40,32,male,United States,CA,No,Yes,No,Never,26-100,No,Yes,Don't know,Not sure
153,27/08/14 12:41,28,male,Poland,NA,No,No,No,Rarely,Jun-25,Yes,Yes,No,No
154,27/08/14 12:41,36,Male,United States,IL,No,No,No,Never,Jun-25,No,Yes,Don't know,Not sure
155,27/08/14 12:41,37,Male,United Kingdom,NA,No,Yes,Yes,Rarely,More than 1000,No,No,Yes,Yes
156,27/08/14 12:42,25,Male,United States,IL,No,Yes,Yes,Sometimes,26-100,No,No,Don't know,No
157,27/08/14 12:42,27,Male,United States,CA,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,No
158,27/08/14 12:43,26,male,United States,OK,No,No,No,Often,26-100,No,No,Don't know,Not sure
159,27/08/14 12:43,27,male,United States,UT,No,No,Yes,Rarely,26-100,Yes,Yes,No,Yes
160,27/08/14 12:43,25,Male,United States,IL,No,Yes,Yes,Sometimes,26-100,No,Yes,Don't know,Not sure
161,27/08/14 12:43,36,Male,United Kingdom,NA,No,No,Yes,Sometimes,More than 1000,No,No,Yes,Yes
162,27/08/14 12:44,25,F,United States,NY,No,Yes,Yes,Sometimes,500-1000,No,Yes,Yes,No
163,27/08/14 12:44,31,M,United States,CA,No,No,No,Never,More than 1000,No,Yes,Yes,No
164,27/08/14 12:45,26,male,United States,MA,No,Yes,No,Rarely,Jun-25,No,Yes,Don't know,No
165,27/08/14 12:46,33,F,United States,WA,Yes,Yes,Yes,Sometimes,1-May,No,Yes,No,Yes
166,27/08/14 12:47,27,Woman,United Kingdom,NA,Yes,Yes,No,NA,1-May,Yes,Yes,No,Yes
167,27/08/14 12:48,34,Male,United States,MN,No,No,No,Never,26-100,No,Yes,No,No
168,27/08/14 12:48,42,male,United States,CA,No,No,No,NA,Jun-25,No,Yes,No,Yes
169,27/08/14 12:48,23,male,Ireland,NA,Yes,Yes,No,Sometimes,1-May,No,Yes,No,No
170,27/08/14 12:48,24,Male,United Kingdom,NA,No,No,No,Rarely,100-500,No,Yes,Don't know,Not sure
171,27/08/14 12:48,26,Male,United Kingdom,NA,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes
172,27/08/14 12:48,31,Male,United Kingdom,NA,Yes,No,Yes,Often,Jun-25,No,Yes,Don't know,No
173,27/08/14 12:49,22,M,India,NA,No,No,Yes,Never,More than 1000,No,Yes,Don't know,Not sure
174,27/08/14 12:49,23,Female,United States,NC,No,No,No,NA,Jun-25,No,Yes,Don't know,No
175,27/08/14 12:49,34,Female,Canada,NA,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes
176,27/08/14 12:49,31,male,United States,MO,No,No,No,Never,26-100,No,Yes,Don't know,Not sure
177,27/08/14 12:50,28,Male,United Kingdom,NA,No,No,No,NA,100-500,No,No,No,Not sure
178,27/08/14 12:50,32,Female,United States,MA,No,No,Yes,Often,Jun-25,Yes,Yes,Yes,Not sure
179,27/08/14 12:51,45,F,United States,CA,No,No,Yes,Sometimes,1-May,No,Yes,Yes,No
180,27/08/14 12:51,33,Male,United States,TX,No,No,No,NA,Jun-25,Yes,Yes,Don't know,No
181,27/08/14 12:51,29,male,Mexico,NA,No,No,No,Never,Jun-25,Yes,Yes,No,No
182,27/08/14 12:51,26,f,India,NA,Yes,No,No,Sometimes,Jun-25,No,No,No,No
183,27/08/14 12:51,28,Female,United Kingdom,NA,No,No,No,Never,26-100,No,Yes,Don't know,No
184,27/08/14 12:51,45,M,United States,CA,No,No,Yes,Sometimes,More than 1000,No,Yes,Don't know,Not sure
185,27/08/14 12:52,43,Male,United States,WA,No,Yes,Yes,Often,More than 1000,Yes,Yes,Yes,Not sure
186,27/08/14 12:52,37,male,United States,MA,No,No,No,NA,500-1000,Yes,Yes,Yes,No
187,27/08/14 12:52,24,Male,United Kingdom,NA,No,No,No,Sometimes,Jun-25,No,Yes,Don't know,No
188,27/08/14 12:53,26,Male,France,NA,No,No,No,NA,Jun-25,Yes,Yes,No,Yes
189,27/08/14 12:53,23,male,United Kingdom,NA,No,Yes,No,NA,1-May,Yes,Yes,Don't know,No
190,27/08/14 12:53,35,Female,United States,CA,No,Yes,Yes,Never,More than 1000,No,Yes,Yes,Not sure
191,27/08/14 12:53,38,Female,South Africa,NA,Yes,Yes,Yes,Often,1-May,Yes,Yes,No,Yes
192,27/08/14 12:53,28,Male,United States,MI,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No
193,27/08/14 12:54,28,Male,Russia,NA,No,No,No,Sometimes,26-100,No,Yes,No,No
194,27/08/14 12:54,35,Male,United States,CA,No,No,Yes,Rarely,Jun-25,No,Yes,No,No
195,27/08/14 12:54,32,female,Germany,NA,No,No,No,Sometimes,100-500,No,Yes,No,No
196,27/08/14 12:54,31,Mal,Italy,NA,Yes,Yes,No,Never,Jun-25,No,Yes,No,No
197,27/08/14 12:55,35,Female,United States,NY,No,No,No,Never,500-1000,Yes,Yes,Don't know,Not sure
198,27/08/14 12:55,26,Male,United States,CA,No,No,No,Rarely,More than 1000,No,Yes,Yes,No
199,27/08/14 12:56,27,Male,United States,TN,No,Yes,No,NA,Jun-25,Yes,Yes,Yes,Yes
200,27/08/14 12:56,28,Male,United Kingdom,NA,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,No
201,27/08/14 12:57,27,Female,United States,OR,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No
202,27/08/14 12:57,34,female,United States,MN,No,No,Yes,Sometimes,500-1000,No,No,Yes,Yes
203,27/08/14 12:58,41,male,United States,FL,No,No,Yes,Often,Jun-25,Yes,Yes,No,Not sure
204,27/08/14 12:58,37,Male,Ireland,NA,No,No,No,Sometimes,1-May,No,Yes,No,Yes
205,27/08/14 13:00,34,male,Austria,NA,No,Yes,No,NA,100-500,Yes,Yes,Don't know,No
206,27/08/14 13:02,32,Male,United Kingdom,NA,No,Yes,Yes,Sometimes,100-500,Yes,Yes,Don't know,Not sure
207,27/08/14 13:03,21,Male,Canada,NA,No,No,Yes,Sometimes,Jun-25,Yes,Yes,No,Yes
208,27/08/14 13:04,30,M,United States,MA,No,No,Yes,Often,26-100,No,Yes,No,Yes
209,27/08/14 13:04,24,male,United States,KS,No,No,No,Never,26-100,No,Yes,Don't know,Not sure
210,27/08/14 13:05,26,male,Bulgaria,NA,No,No,No,NA,100-500,No,Yes,No,No
211,27/08/14 13:06,40,Female,United States,DC,No,No,No,NA,26-100,No,Yes,Yes,Yes
212,27/08/14 13:06,37,Male,United Kingdom,NA,No,Yes,No,Sometimes,26-100,No,No,No,No
213,27/08/14 13:07,26,Male,United Kingdom,NA,Yes,No,Yes,Often,1-May,Yes,Yes,No,No
214,27/08/14 13:07,32,F,United States,TX,No,Yes,Yes,Sometimes,Jun-25,No,Yes,Don't know,No
215,27/08/14 13:07,32,f,United States,MA,No,No,Yes,Sometimes,100-500,No,No,Yes,Yes
216,27/08/14 13:07,27,female,United States,MI,Yes,Yes,Yes,Sometimes,1-May,Yes,Yes,No,No
217,27/08/14 13:08,30,Male,Germany,NA,Yes,No,Yes,Often,Jun-25,Yes,Yes,Yes,Yes
218,27/08/14 13:09,31,M,Canada,NA,Yes,No,No,NA,Jun-25,No,Yes,Yes,Yes
219,27/08/14 13:09,29,F,United States,NY,No,No,Yes,Never,500-1000,No,No,Yes,No
220,27/08/14 13:09,41,Male (CIS),United States,VA,No,No,No,NA,26-100,No,Yes,Yes,Not sure
221,27/08/14 13:12,34,female,United States,WA,No,No,No,NA,Jun-25,No,Yes,Yes,No
222,27/08/14 13:12,33,Male,United Kingdom,NA,No,No,No,NA,26-100,No,Yes,Don't know,No
223,27/08/14 13:14,28,male,United States,PA,No,No,No,Rarely,Jun-25,No,Yes,Don't know,No
224,27/08/14 13:15,28,Male,United States,MI,No,No,Yes,Sometimes,More than 1000,No,Yes,No,Yes
225,27/08/14 13:15,23,Male,United States,PA,No,No,No,Never,26-100,No,Yes,Don't know,Not sure
226,27/08/14 13:18,24,M,United States,OR,No,No,No,NA,1-May,No,Yes,Don't know,No
227,27/08/14 13:18,32,male,United States,WA,No,No,No,Rarely,1-May,Yes,Yes,No,Yes
228,27/08/14 13:19,34,Male,Australia,NA,Yes,No,No,Sometimes,1-May,Yes,Yes,Don't know,Not sure
229,27/08/14 13:21,24,Male,United States,PA,No,No,No,Never,Jun-25,No,Yes,Yes,Not sure
230,27/08/14 13:22,26,male,United Kingdom,NA,Yes,No,Yes,Sometimes,1-May,No,Yes,No,Yes
231,27/08/14 13:22,36,Male,United States,OH,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No
232,27/08/14 13:23,41,Male,United States,TX,No,No,Yes,Rarely,500-1000,Yes,Yes,Yes,Yes
233,27/08/14 13:24,38,Male,United Kingdom,NA,No,No,Yes,Sometimes,More than 1000,No,No,Don't know,Not sure
234,27/08/14 13:24,38,Male,United States,NH,No,No,No,Sometimes,26-100,Yes,Yes,Don't know,Not sure
235,27/08/14 13:26,30,male,Netherlands,NA,No,No,No,NA,26-100,No,Yes,Don't know,No
236,27/08/14 13:26,25,Male,United Kingdom,NA,No,No,No,Never,26-100,No,Yes,No,No
237,27/08/14 13:27,37,Male,Canada,NA,No,Yes,Yes,Often,26-100,No,Yes,Yes,Yes
238,27/08/14 13:29,34,Male,United Kingdom,NA,No,Yes,No,NA,Jun-25,No,Yes,No,No
239,27/08/14 13:29,37,F,United States,NC,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes
240,27/08/14 13:31,28,Female,Canada,NA,No,Yes,Yes,Sometimes,Jun-25,No,No,Yes,Yes
241,27/08/14 13:31,22,Male,Sweden,NA,No,No,No,NA,Jun-25,No,Yes,Don't know,No
242,27/08/14 13:32,34,male,United States,FL,No,Yes,Yes,Sometimes,1-May,No,Yes,No,No
243,27/08/14 13:32,33,M,United States,CA,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes
244,27/08/14 13:33,25,Male,South Africa,NA,No,No,No,NA,Jun-25,No,Yes,No,No
245,27/08/14 13:34,27,Male,United States,GA,No,No,No,Never,More than 1000,Yes,Yes,Yes,Yes
246,27/08/14 13:35,40,M,United States,OH,No,No,Yes,Sometimes,More than 1000,Yes,Yes,Yes,Yes
247,27/08/14 13:35,21,Male,United States,KY,No,No,Yes,Often,Jun-25,No,No,Don't know,No
248,27/08/14 13:37,29,Male,United Kingdom,NA,No,No,No,NA,Jun-25,No,No,No,No
249,27/08/14 13:37,32,M,United States,NC,No,Yes,Yes,Sometimes,1-May,Yes,Yes,No,No
250,27/08/14 13:38,29,f,United States,NY,No,Yes,Yes,Rarely,500-1000,Yes,No,Yes,Yes
251,27/08/14 13:39,23,Male,United States,AL,No,Yes,Yes,Sometimes,26-100,Yes,No,Don't know,No
252,27/08/14 13:40,28,Male,United States,GA,No,Yes,No,NA,100-500,No,Yes,Yes,No
253,27/08/14 13:42,31,male,United States,CA,No,Yes,Yes,Rarely,100-500,Yes,Yes,Yes,Yes
254,27/08/14 13:44,27,Male,United Kingdom,NA,No,No,No,NA,100-500,No,No,Don't know,Not sure
255,27/08/14 13:44,24,Male,United States,VA,No,No,No,Sometimes,Jun-25,No,Yes,Don't know,No
256,27/08/14 13:46,29,Male,Canada,NA,No,No,No,Often,Jun-25,No,Yes,No,No
