Primary_ID,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments
47,No,No,Don't know,Don't know,No,Maybe,Some of them,Yes,Maybe,Yes,Don't know,No,NA
48,No,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Don't know,No,NA
49,Yes,No,Don't know,Don't know,No,No,Yes,Yes,No,No,Yes,No,NA
50,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,I just started a new job last week hence a lot of don't know's
51,No,No,Yes,Very difficult,Maybe,No,No,No,No,Maybe,Don't know,No,NA
52,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,NA
53,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,NA
54,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,NA
55,No,No,Don't know,Don't know,No,No,No,No,No,Maybe,Don't know,No,NA
56,No,No,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No,NA
57,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,NA
58,No,No,Don't know,Don't know,No,Maybe,Some of them,Yes,Yes,Yes,No,No,NA
59,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,NA
60,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,Don't know,No,In addition to my own mental health issues I've known several coworkers that may be suffering and I don't know how to tell them I empathize and that I want to help.
61,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,No,No,Maybe,Don't know,Yes,NA
62,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,NA
63,No,Yes,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,NA
64,No,No,Don't know,Very easy,Yes,No,No,No,No,No,No,Yes,NA
65,No,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Don't know,No,NA
66,Yes,Yes,Don't know,Don't know,Yes,Maybe,Some of them,No,No,No,No,Yes,NA
67,No,No,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Thanks for doing this research.
68,Don't know,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,Maybe,Yes,Yes,No,NA
69,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,NA
70,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,NA
71,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,NA
72,Don't know,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,NA
73,No,No,Yes,Somewhat difficult,Maybe,No,Yes,Yes,No,No,No,No,NA
74,No,Don't know,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No,NA
75,Yes,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,NA
76,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,No,No,NA
77,Yes,Yes,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes,No,NA
78,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No,NA
79,No,No,Don't know,Somewhat difficult,Yes,No,Some of them,No,No,Yes,No,No,NA
80,Don't know,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,NA
81,No,Yes,Don't know,Don't know,No,No,Yes,Some of them,Maybe,Maybe,Yes,No,NA
82,Yes,Don't know,Don't know,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA
83,No,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,No,No,NA
84,Yes,Yes,Yes,Very easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No,NA
85,No,No,Don't know,Don't know,Yes,No,No,No,No,Maybe,No,No,NA
86,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,No,No,NA
87,No,No,Don't know,Very difficult,Maybe,No,Some of them,No,No,Maybe,No,Yes,NA
88,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No,NA
89,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes,NA
90,No,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No,NA
91,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,NA
92,No,No,Yes,Very difficult,No,No,Yes,Yes,Yes,Yes,No,No,NA
93,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,Don't know,No,NA
94,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,Don't know,No,In Russia we have mandatory medical insurance. Every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. Everyone gets free healthcare at public clinics and hospitals. Some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still FREE!However this is Russia :D I don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.
95,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,NA
96,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,No,No,NA
97,No,Don't know,Don't know,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No,NA
98,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,No,No,NA
99,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,No,No,NA
100,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,NA
101,No,No,No,Very difficult,Yes,No,No,No,No,Maybe,No,Yes,In my previous workplace which had mental health protections policies and access to counsellors my Director went so far as to say to me in somewhat casual conversation A woman was murdered across the street. At best though she was bipolar and at worst - who knowsI have bipolar disorder. I have zero faith that an organization with policies in place could appropriately handle mental health. I have even less faith that a workplace without the policies in place could appropriately handle mental health. I can only imagine it's worse in full tech environments.
102,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,No,Some of them,No,No,Don't know,No,NA
103,Don't know,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No,NA
104,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA
105,Yes,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,NA
106,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,NA
107,No,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No,I've seen negative consequences towards mental health conditions in previous workplaces.Working remote is empowering in this way.
108,No,No,No,Don't know,Maybe,No,Yes,Yes,No,No,Don't know,Yes,NA
109,No,No,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No,NA
110,Yes,Yes,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Maybe,Yes,No,NA
111,No,Don't know,Yes,Don't know,Yes,No,No,No,No,Yes,No,No,NA
112,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,NA
113,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,NA
114,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,NA
115,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,NA
116,No,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,No,No,Don't know,Yes,NA
117,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,No,No,NA
118,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Yes,No,No,Don't know,No,NA
119,No,No,Yes,Very easy,No,No,Some of them,No,No,No,Don't know,No,NA
120,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,NA
121,No,Yes,Don't know,Don't know,Yes,Yes,No,No,No,No,Don't know,No,NA
122,No,No,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No,NA
123,Don't know,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No,NA
124,No,No,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No,NA
125,No,No,Don't know,Very difficult,Maybe,No,Some of them,Yes,No,Maybe,No,Yes,NA
126,Yes,Yes,Yes,Don't know,Yes,No,Some of them,No,No,Yes,Don't know,No,NA
127,No,No,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No,NA
128,No,Yes,Yes,Don't know,Yes,No,No,Yes,No,No,Don't know,No,NA
129,No,No,Don't know,Somewhat easy,Maybe,Maybe,No,No,No,No,Yes,No,NA
130,No,No,Don't know,Somewhat easy,Yes,Yes,Some of them,No,No,No,Don't know,No,NA
131,No,No,Don't know,Very easy,Maybe,No,Yes,Some of them,No,Yes,No,No,NA
132,No,No,Don't know,Very difficult,Maybe,No,Yes,Some of them,No,Yes,Don't know,No,NA
133,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,NA
134,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,No,No,NA
135,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,NA
136,No,No,Don't know,Don't know,Yes,Maybe,No,No,No,No,Don't know,No,NA
137,No,No,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA
138,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Don't know,No,NA
139,No,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,No,Don't know,No,NA
140,Don't know,No,Don't know,Somewhat easy,No,No,Some of them,Some of them,No,No,Don't know,No,NA
141,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,NA
142,Yes,Yes,Yes,Very difficult,Yes,Yes,Some of them,No,No,Maybe,Yes,No,I'm not a permanent employee so do not get they benefits they get.My client is extremely supportive of permanent staff with mental health issues.
143,Don't know,Don't know,Don't know,Don't know,Yes,No,Some of them,No,No,Maybe,Don't know,No,NA
144,Don't know,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,NA
145,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No,I'd be more worried about coworkers and workplace culture than the employer--they're probably legally obligated to do some things but reputation among people I work with is something else. For instance I've heard people make snide remarks about men taking paternity leave I don't want to know what they'd say about mental health leave.
146,Yes,Yes,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Yes,Maybe,Maybe,Don't know,No,NA
147,No,No,Yes,Don't know,Maybe,Maybe,No,Some of them,No,No,Don't know,No,NA
148,No,No,No,Somewhat easy,Yes,Yes,No,No,No,No,No,No,NA
149,Yes,Yes,Don't know,Somewhat easy,Yes,No,Some of them,No,No,No,No,Yes,NA
150,No,Don't know,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No,NA
151,No,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,NA
152,No,No,Don't know,Very easy,No,No,Some of them,Some of them,No,Maybe,No,No,NA
153,No,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes,No,NA
154,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,NA
155,Yes,Yes,Yes,Somewhat difficult,Yes,Maybe,Some of them,No,No,Yes,No,Yes,NA
156,No,Don't know,Don't know,Somewhat difficult,Maybe,No,Some of them,Some of them,No,Maybe,No,No,NA
157,No,Don't know,Don't know,Don't know,No,No,No,Some of them,No,Maybe,Don't know,No,NA
158,No,No,Don't know,Don't know,Yes,Maybe,Some of them,Yes,No,Maybe,No,No,NA
159,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Yes,No,No,Don't know,Yes,Had a co-worker disappear from work for a few weeks and then come back to let everyone know he was bipolar. His responsibilities and schedule were adjusted to accommodate but he got worse didn't show up didn't work etc and was eventually let go.It was tough because on the one hand he was struggling with some mental health issues but on the other hand he went through a period of months where he wasn't performing.
160,No,No,Don't know,Very easy,Maybe,No,Some of them,No,No,No,Don't know,Yes,Family history of depression.  Currently dealing with depression and anxiety as well as drug addition.Employer provides & pays premiums on insurance which covers therapy and prescriptions.  Employer allows work-from-home and unlimited PTO which makes episodes easier to control.I don't speak of my problems to anyone at work except for the people that I consider friends and even then I don't go into great detail.I would never bring up a mental health issue during an interview for fear of discrimination and rejection (and therefore greater depression).  One co-worker had serious anxiety problems and would not inform his team of episodes and was eventually let go for being unresponsive.
161,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,Yes,I feel that my employer and colleagues have created my mental health issue. Additionally I have contributed to this by staying in the same job with the same employer for 10+ years.
162,No,No,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,No,Don't know,No,NA
163,No,Yes,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No,NA
164,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,NA
165,Yes,Yes,Yes,Very difficult,No,No,Some of them,Yes,No,Yes,Yes,No,Many of these questions become irrelevant once 'Yes' is selected for 'Are you self-employed'.  It would be preferable for there to be a 'Not Relevant' option on these.
166,No,No,Yes,Somewhat easy,No,No,Yes,Yes,No,Maybe,Yes,No,as a UK-based company we don't have any medical provisions as it's all provided on the National Health Service (for now!) However if we do need to take days off for any kind of health problems everyone is understanding :)
167,No,No,Don't know,Very easy,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,NA
168,No,No,Don't know,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,NA
169,No,No,Don't know,Very difficult,Yes,No,No,No,No,Maybe,No,No,NA
170,Yes,Don't know,Don't know,Very easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No,NA
171,Don't know,Don't know,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Don't know,No,My employer employs 17k people worldwide and my previous employer only 140 globally both have been very supportive and accommodating with my moderate depression and intense anxiety.
172,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,NA
173,No,No,Don't know,Very difficult,Yes,Maybe,No,No,Maybe,Maybe,No,No,NA
174,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No,NA
175,Yes,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,No,No,NA
176,No,Don't know,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No,NA
177,No,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No,NA
178,Don't know,Don't know,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,Yes,I am not sure about my company's healthcare because I've opted out of it and I'm covered under another policy.I currently work at a great company though in past jobs I don't think I would have felt comfortable talking about mental health at all.
179,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,No,No,Yes,No,In small startups it is very hard to keep mental health issues truly private no matter what management does.
180,No,No,Don't know,Very easy,No,No,Yes,Yes,No,Maybe,Don't know,No,A close family member of mine struggles with mental health so I try not to stigmatize it. My employers/coworkers also seem compassionate toward any kind of health or family needs.
181,No,No,No,Don't know,Maybe,Maybe,No,Yes,Maybe,Yes,No,No,NA
182,No,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,NA
183,No,Don't know,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,NA
184,Don't know,Don't know,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,No,Don't know,No,NA
185,No,Don't know,Don't know,Very difficult,Yes,Maybe,No,No,No,No,No,No,NA
186,No,No,Don't know,Don't know,Yes,No,Some of them,No,Maybe,Yes,No,No,NA
187,No,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,Maybe,Yes,Yes,No,NA
188,No,No,Don't know,Somewhat easy,No,No,Some of them,No,No,Maybe,Yes,No,NA
189,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,NA
190,Don't know,No,Yes,Somewhat easy,Maybe,No,No,No,No,No,Don't know,No,NA
191,No,No,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,Yes,NA
192,No,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,No,No,NA
193,No,No,Don't know,Don't know,Yes,Maybe,No,No,No,Maybe,Don't know,No,NA
194,No,No,Yes,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,NA
195,No,No,Don't know,Very difficult,Yes,Yes,Some of them,No,No,No,No,Yes,Too many people even especially IT considered mental health issues as a choice or something people can freely act about. You are depressed: take vacation. You feel weird: admit it is physical (otherwise it is not serious) go and see a doctor (and if you are on sick leave too many days you will get fired). You don't feel good today: take a holiday but don't work from home. In startup there is what I call the tyranny of happiness: you have to look happy to be accepted and to be worked with. At some point playing a role can definitely make the mental health issue worse and it is also a threat to diversity :(I don't like to call mental health issues an issue but actually when it comes to company field it too often becomes an issue and this is sad because working is sometimes better than medication. It is a vicious circle: people are scared of speaking about it so they don't inform their coworkers about what mental health is for real and so coworkers are so scared on a regular basis that the people with mental health issues keep it for themselves. 
196,No,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No,NA
197,No,No,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No,Don't know,No,NA
198,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No,NA
199,No,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Yes,No,NA
200,No,No,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No,NA
201,No,No,Don't know,Very easy,No,No,Some of them,Some of them,No,No,Yes,No,My seniority at the company and rapport with the owners has helped me gain support for seeking help regarding my mental health as well as being able to take time off or work from home when an episode starts.However I don't feel that the company's stance on mental health is as clear as say something like vision or dental.  There's very much a stigma.
202,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No,NA
203,No,No,Don't know,Very difficult,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,NA
204,No,No,Don't know,Very difficult,Yes,No,No,No,No,Yes,Don't know,No,When you are an introvert people don't notice if you are depressed. Its a vicious cycle of sorts.
205,Don't know,Don't know,Don't know,Very easy,No,No,Yes,Yes,No,No,Yes,No,NA
206,No,No,Don't know,Somewhat difficult,Yes,Maybe,No,No,No,No,No,Yes,I've answered 'Yes' on remote working but 50% is the maximum time we're allowed.The branch of the company I work for doesn't offer any medical benefits. It's not as common in the UK as we have the NHS for the moment. There are international branches that may so I've answered 'Don't know'.
207,No,No,Don't know,Somewhat difficult,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No,NA
208,No,No,Yes,Somewhat easy,Maybe,No,Yes,Yes,No,Maybe,Don't know,No,NA
209,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,NA
210,No,No,No,Very easy,Yes,Maybe,No,No,No,Maybe,Don't know,No,NA
211,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,NA
212,No,No,Don't know,Don't know,Yes,Maybe,Some of them,Yes,No,Maybe,Don't know,No,NA
213,No,No,Don't know,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,NA
214,No,No,No,Don't know,Yes,Maybe,Some of them,Some of them,No,Maybe,No,Yes,NA
215,Don't know,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,No,NA
216,Don't know,Don't know,Don't know,Very difficult,No,No,Some of them,No,No,No,Don't know,No,Many of these questions were difficult to answer as a self-employed person; I did my best with the available options.
217,No,No,Yes,Very difficult,No,No,Some of them,Yes,Maybe,Yes,Yes,No,I tried to answer as good as possible but I am CEO of a company so many questions don't fit very well.Also many of the questions are very US-centric in most systems healthcare is not your employers business.
218,No,Don't know,Yes,Very easy,No,No,Some of them,Some of them,No,No,Yes,No,NA
219,No,Don't know,Don't know,Somewhat difficult,Maybe,No,Some of them,No,No,No,Don't know,No,NA
220,No,No,Don't know,Very easy,Yes,No,No,Some of them,No,No,Don't know,No,NA
221,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,One of my coworkers has mental health issues and she's open about them (eg: my enjoyment of this project may be due to my recent change in meds). I believe the response has been generally supportive. We're a very small tight-knit company.
222,No,No,Don't know,Don't know,No,No,Yes,Yes,Yes,Yes,Don't know,No,NA
223,No,No,Don't know,Don't know,No,No,Some of them,Some of them,No,Maybe,Don't know,No,NA
224,No,No,Yes,Very difficult,Yes,No,No,Some of them,No,No,No,No,NA
225,Don't know,Don't know,Don't know,Don't know,No,No,No,Yes,No,Yes,Yes,No,A strong mind goes a long way. Stay strong. Take some time off to help. Its all in your head. 
226,Don't know,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,Would you bring up a mental health issue with a potential employer in an interview?Poignant.
227,No,No,Don't know,Very difficult,No,No,Some of them,Yes,No,Maybe,Yes,No,NA
228,Yes,Yes,Don't know,Somewhat difficult,Yes,Yes,No,No,No,Maybe,Yes,No,NA
229,No,Don't know,Don't know,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,Yes,No,NA
230,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,NA
231,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,Yes,NA
232,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,Maybe,Maybe,No,No,I found it difficult to answer all of the questions effectively as many of them would depend on the nature of the mental health issues as some seem more socially accepted than others. For some people telling your current supervisor that you have a history of bi-polar disorder might be easier than telling a potential employer that you have a history of compulsive gambling. They might both be bits of irrelevant information (past behavior and not indicators of future behavior). However western culture pushes us to appear as capable as possible to our supervisors in pursuit of excellence in our work. Providing information that could create a negative bias seems like a more genuine and yet more risky approach to the discussion.
233,Don't know,Don't know,Don't know,Very difficult,Yes,No,No,No,No,Maybe,No,No,NA
234,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Yes,No,Maybe,No,No,NA
